city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Trenton,Trenton,NC,North Carolina,37103,Jones,37103,Jones,35.064,-77.3553,285,484,polygon,FALSE,TRUE,America/New_York,3,28585,1840016445
Stanfield,Stanfield,NC,North Carolina,37167,Stanly,37167,Stanly,35.2336,-80.4303,1517,131,polygon,FALSE,TRUE,America/New_York,3,28163,1840016365
Sanford,Sanford,NC,North Carolina,37105,Lee,37105,Lee,35.4874,-79.1772,34557,389,polygon,FALSE,TRUE,America/New_York,3,27330 27332 27331,1840015421
Cofield,Cofield,NC,North Carolina,37091,Hertford,37091,Hertford,36.3567,-76.9105,382,46,polygon,FALSE,TRUE,America/New_York,3,27922,1840017704
Thomasville,Thomasville,NC,North Carolina,37057,Davidson,37057,Davidson,35.8813,-80.0807,26615,612,polygon,FALSE,TRUE,America/New_York,3,27360 27361,1840015361
Aurora,Aurora,NC,North Carolina,37013,Beaufort,37013,Beaufort,35.303,-76.7889,512,212,polygon,FALSE,TRUE,America/New_York,3,27806,1840015398
Casar,Casar,NC,North Carolina,37045,Cleveland,37045,Cleveland,35.5127,-81.6168,293,64,polygon,FALSE,TRUE,America/New_York,3,28020,1840016333
Mebane,Mebane,NC,North Carolina,37001,Alamance,37001|37135,Alamance|Orange,36.0876,-79.2756,14973,633,polygon,FALSE,TRUE,America/New_York,3,27302,1840015328
Vass,Vass,NC,North Carolina,37125,Moore,37125,Moore,35.2533,-79.2845,774,93,polygon,FALSE,TRUE,America/New_York,3,28394,1840016357
Forest Hills,Forest Hills,NC,North Carolina,37099,Jackson,37099,Jackson,35.2958,-83.1954,382,297,polygon,FALSE,TRUE,America/New_York,3,28723,1840001769
Cape Carteret,Cape Carteret,NC,North Carolina,37031,Carteret,37031,Carteret,34.6973,-77.0572,2062,315,polygon,FALSE,TRUE,America/New_York,3,28584,1840015498
Lowgap,Lowgap,NC,North Carolina,37171,Surry,37171,Surry,36.5233,-80.8671,359,121,polygon,FALSE,FALSE,America/New_York,3,27024,1840025761
Greenevers,Greenevers,NC,North Carolina,37061,Duplin,37061,Duplin,34.8271,-77.9247,638,157,polygon,FALSE,TRUE,America/New_York,3,28458,1840016469
